Source / Medium,Browser,Operating System,Operating System Version,Device Category,Service Provider,Screen Resolution,Day of the month,Hour,Unique Events
emma / email,Chrome,Android,8.1.2000,mobile,telefonica movil de chile s.a.,393x786,18,18,1
emma / email,Chrome,Android,8.1.2000,mobile,vtr banda ancha s.a.,360x760,18,20,1
emma / email,Chrome,Android,8.1.2000,tablet,entel pcs telecomunicaciones s.a.,360x640,18,19,1
emma / email,Chrome,BlackBerry,(not set),mobile,entel pcs telecomunicaciones s.a.,412x618,18,18,1
emma / email,Chrome,iOS,11.4.2018,mobile,cablemas telecomunicaciones sa de cv,320x568,18,19,1
emma / email,Chrome,iOS,12.0,mobile,entel pcs telecomunicaciones s.a.,414x736,18,18,1
emma / email,Chrome,iOS,12.0,mobile,telefonica movil de chile s.a.,320x568,18,18,1
emma / email,Chrome,iOS,12.0,mobile,vtr banda ancha s.a.,320x568,19,6,1
emma / email,Chrome,Macintosh,Intel 10.12,desktop,c a. de seguros generales suramericana s.a.,1280x800,17,14,1
emma / email,Chrome,Macintosh,Intel 10.12,desktop,c a. de seguros generales suramericana s.a.,1280x800,19,10,1
emma / email,Chrome,Macintosh,Intel 10.12,desktop,c a. de seguros generales suramericana s.a.,1280x800,19,13,1
emma / email,Chrome,Macintosh,Intel 10.12,desktop,vtr banda ancha s.a.,1280x800,18,20,1
emma / email,Chrome,Macintosh,Intel 10.13,desktop,manquehuenet,1920x1080,18,18,1
emma / email,Chrome,Macintosh,Intel 10.13,desktop,vtr banda ancha s.a.,1280x800,18,23,1
emma / email,Chrome,Macintosh,Intel 10.13,desktop,vtr banda ancha s.a.,1440x900,18,18,1
emma / email,Chrome,Macintosh,Intel 10.14,desktop,america movil peru s.a.c.,1440x900,18,21,1
emma / email,Chrome,Macintosh,Intel 10.14,desktop,vtr banda ancha s.a.,1440x900,18,19,1
emma / email,Chrome,Windows,10,desktop,anglo american chile,1280x1024,19,8,1
emma / email,Chrome,Windows,10,desktop,banco de credito e inversiones,1600x900,18,17,1
emma / email,Chrome,Windows,10,desktop,banda ancha gtd manquehue,1366x768,18,17,1
emma / email,Chrome,Windows,10,desktop,cl-teemsr-lacnic,1366x768,18,17,1
emma / email,Chrome,Windows,10,desktop,cl-teemsr-lacnic,1366x768,18,18,1
emma / email,Chrome,Windows,10,desktop,cl-teemsr-lacnic,1920x1080,19,11,1
emma / email,Chrome,Windows,10,desktop,ctc. corp s.a. (telefonica empresas),1920x1080,18,17,1
emma / email,Chrome,Windows,10,desktop,entel chile s.a.,1366x768,18,17,1
emma / email,Chrome,Windows,10,desktop,entel chile s.a.,1366x768,18,18,1
emma / email,Chrome,Windows,10,desktop,entel chile s.a.,1366x768,19,10,1
emma / email,Chrome,Windows,10,desktop,entel chile s.a.,1600x900,18,17,1
emma / email,Chrome,Windows,10,desktop,entel chile s.a.,1920x1080,18,19,1
emma / email,Chrome,Windows,10,desktop,entel pcs telecomunicaciones s.a.,1366x768,18,18,1
emma / email,Chrome,Windows,10,desktop,entel pcs telecomunicaciones s.a.,1536x864,19,11,1
emma / email,Chrome,Windows,10,desktop,gtd internet s.a.,1366x768,18,18,1
emma / email,Chrome,Windows,10,desktop,hormisur inein s.a,1536x864,19,18,1
emma / email,Chrome,Windows,10,desktop,imel limitada,1280x1024,19,15,1
emma / email,Chrome,Windows,10,desktop,manquehuenet,1366x768,18,18,1
emma / email,Chrome,Windows,10,desktop,mesos gestion y servicios s.a,1366x768,19,9,1
emma / email,Chrome,Windows,10,desktop,ministerio del interior y de seguridad publica - gobierno de chi,1600x900,19,8,1
emma / email,Chrome,Windows,10,desktop,optica rotter y kraus,1360x768,19,17,1
emma / email,Chrome,Windows,10,desktop,reutter s.a.,1366x768,18,17,1
emma / email,Chrome,Windows,10,desktop,romani y gumucio limit,1600x900,19,9,1
emma / email,Chrome,Windows,10,desktop,segic usach ltda,1600x900,18,18,1
emma / email,Chrome,Windows,10,desktop,sonda s.a.,1366x768,19,9,1
emma / email,Chrome,Windows,10,desktop,telef nica chile s.a.,1366x768,19,9,1
emma / email,Chrome,Windows,10,desktop,telef nica chile s.a.,1366x768,20,20,1
emma / email,Chrome,Windows,10,desktop,telef nica chile s.a.,1600x900,18,17,1
emma / email,Chrome,Windows,10,desktop,telef nica chile s.a.,1600x900,19,17,1
emma / email,Chrome,Windows,10,desktop,telef nica chile s.a.,1920x1080,18,17,1
emma / email,Chrome,Windows,10,desktop,telefonica del sur s.a.,1366x768,18,20,1
emma / email,Chrome,Windows,10,desktop,telefonica del sur s.a.,1366x768,18,22,1
emma / email,Chrome,Windows,10,desktop,telefonica empresas,1024x768,19,9,1
emma / email,Chrome,Windows,10,desktop,telefonica empresas,1366x768,18,18,1
emma / email,Chrome,Windows,10,desktop,telefonica empresas,1920x1080,18,18,1
emma / email,Chrome,Windows,10,desktop,telefonica movil de chile s.a.,1366x768,18,22,1
emma / email,Chrome,Windows,10,desktop,telefonica movil de chile s.a.,1366x768,19,10,1
emma / email,Chrome,Windows,10,desktop,telmex chile internet s.a.,1366x768,19,18,1
emma / email,Chrome,Windows,10,desktop,telmex chile s.a hfc,1536x864,18,23,1
emma / email,Chrome,Windows,10,desktop,telmex servicios empresariales s.a.,1366x768,21,11,1
emma / email,Chrome,Windows,10,desktop,telmex servicios empresariales s.a.,1600x900,19,15,1
emma / email,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1280x720,18,18,1
emma / email,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1366x768,18,18,1
emma / email,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1366x768,18,20,1
emma / email,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1366x768,18,22,1
emma / email,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1366x768,19,12,1
emma / email,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1536x864,18,18,1
emma / email,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1920x1080,18,18,1
emma / email,Chrome,Windows,7,desktop,aramark,1680x1050,19,12,1
emma / email,Chrome,Windows,7,desktop,banda ancha gtd manquehue,1536x864,18,18,1
emma / email,Chrome,Windows,7,desktop,cl-teemsr-lacnic,1024x820,19,14,1
emma / email,Chrome,Windows,7,desktop,cl-teemsr-lacnic,1920x1080,18,21,1
emma / email,Chrome,Windows,7,desktop,compa ia minera tamaya,1093x615,19,10,1
emma / email,Chrome,Windows,7,desktop,coorporacion de apoyo familiar,1366x768,18,18,1
emma / email,Chrome,Windows,7,desktop,corporacion banco de chile,1366x768,18,18,1
emma / email,Chrome,Windows,7,desktop,crawford -carvallo s.a.,1280x720,18,18,1
emma / email,Chrome,Windows,7,desktop,ctc transmisiones regionales s.a.,1366x768,19,8,1
emma / email,Chrome,Windows,7,desktop,entel chile s.a.,1280x720,18,17,1
emma / email,Chrome,Windows,7,desktop,entel chile s.a.,1366x768,18,17,2
emma / email,Chrome,Windows,7,desktop,entel chile s.a.,1366x768,18,18,1
emma / email,Chrome,Windows,7,desktop,entel chile s.a.,1366x768,19,14,1
emma / email,Chrome,Windows,7,desktop,entel pcs telecomunicaciones s.a.,1024x768,21,18,1
emma / email,Chrome,Windows,7,desktop,gtd internet s.a.,1600x900,19,16,1
emma / email,Chrome,Windows,7,desktop,gtd internet s.a.,1600x900,19,17,1
emma / email,Chrome,Windows,7,desktop,ifx networks chile s.a,1093x615,18,17,1
emma / email,Chrome,Windows,7,desktop,ifx networks chile s.a,1600x900,18,17,1
emma / email,Chrome,Windows,7,desktop,ministerio del interior y de seguridad publica - gobierno de chi,1366x768,19,8,1
emma / email,Chrome,Windows,7,desktop,ministerio del interior y de seguridad publica - gobierno de chi,1600x900,18,18,1
emma / email,Chrome,Windows,7,desktop,ministerio del interior y de seguridad publica - gobierno de chi,1600x900,19,11,1
emma / email,Chrome,Windows,7,desktop,servicio de impuestos internos,1280x1024,19,9,1
emma / email,Chrome,Windows,7,desktop,servicio de impuestos internos,1280x1024,19,10,1
emma / email,Chrome,Windows,7,desktop,telefonica del sur s.a.,1366x768,19,16,1
emma / email,Chrome,Windows,7,desktop,telefonica del sur s.a.,1366x768,19,18,1
emma / email,Chrome,Windows,7,desktop,televisi n nacional de chile,1920x1080,19,15,1
emma / email,Chrome,Windows,7,desktop,televisi n nacional de chile,1920x1080,19,17,1
emma / email,Chrome,Windows,7,desktop,telmex chile internet s.a.,1440x900,19,10,1
emma / email,Chrome,Windows,7,desktop,telmex servicios empresariales s.a.,1366x768,18,19,1
emma / email,Chrome,Windows,7,desktop,universidad de las americas,1280x1024,18,19,1
emma / email,Chrome,Windows,7,desktop,vtr banda ancha s.a.,1366x768,19,15,1
emma / email,Chrome,Windows,7,desktop,vtr banda ancha s.a.,1536x864,19,2,1
emma / email,Chrome,Windows,7,desktop,vtr banda ancha s.a.,1536x864,19,8,1
emma / email,Chrome,Windows,7,desktop,vtr banda ancha s.a.,1600x900,19,13,1
emma / email,Chrome,Windows,7,desktop,vtr banda ancha s.a.,1600x900,19,21,1
emma / email,Chrome,Windows,7,desktop,vtr banda ancha s.a.,1920x1080,18,19,1
emma / email,Chrome,Windows,8.1,desktop,comercial satex ltda.,1366x768,19,8,1
emma / email,Chrome,Windows,8.1,desktop,ftth gtd manquehue,1360x768,19,8,1
emma / email,Chrome,Windows,8.1,desktop,grez y ulloa ltda.,1344x840,18,18,1
emma / email,Chrome,Windows,8.1,desktop,gtd internet s.a.,1366x768,19,16,1
emma / email,Chrome,Windows,8.1,desktop,vtr banda ancha s.a.,1366x768,21,13,1
emma / email,Edge,Windows,10,desktop,entel chile s.a.,1138x640,18,18,1
emma / email,Edge,Windows,10,desktop,telef nica chile s.a.,1097x617,19,8,1
emma / email,Edge,Windows,10,desktop,vtr banda ancha s.a.,1366x768,19,12,1
emma / email,Edge,Windows,10,desktop,vtr banda ancha s.a.,1366x768,20,17,1
emma / email,Firefox,Windows,10,desktop,entel chile s.a.,1920x1080,18,19,1
emma / email,Firefox,Windows,7,desktop,cl-teemsr-lacnic,1360x768,19,9,1
emma / email,Firefox,Windows,7,desktop,entel chile s.a.,1920x1080,19,15,1
emma / email,Internet Explorer,Windows,10,desktop,entel chile s.a.,1821x1024,19,20,1
emma / email,Internet Explorer,Windows,7,desktop,telef nica chile s.a.,1518x853,19,10,1
emma / email,Opera,Windows,7,desktop,vtr banda ancha s.a.,1366x768,21,15,1
emma / email,Puffin,Android,7.0,mobile,entel chile s.a.,320x568,20,18,1
emma / email,Safari,iOS,10.1.2001,mobile,telef nica chile s.a.,375x667,19,21,1
emma / email,Safari,iOS,10.2.2001,mobile,telefonica movil de chile s.a.,375x667,18,17,1
emma / email,Safari,iOS,10.3.2002,mobile,entel pcs telecomunicaciones s.a.,375x667,18,22,1
emma / email,Safari,iOS,10.3.2002,mobile,telef nica chile s.a.,375x667,18,21,1
emma / email,Safari,iOS,10.3.2003,mobile,entel pcs telecomunicaciones s.a.,320x568,18,22,1
emma / email,Safari,iOS,11.1.2002,mobile,entel pcs telecomunicaciones s.a.,375x667,18,18,1
emma / email,Safari,iOS,11.1.2002,mobile,vtr banda ancha s.a.,320x568,18,20,1
emma / email,Safari,iOS,11.2.2005,mobile,telefonica movil de chile s.a.,320x568,18,19,1
emma / email,Safari,iOS,11.2.2005,mobile,vtr banda ancha s.a.,375x667,19,0,1
emma / email,Safari,iOS,11.3,mobile,conect s.a,414x736,18,22,1
emma / email,Safari,iOS,11.3,mobile,telef nica chile s.a.,320x568,18,19,1
emma / email,Safari,iOS,11.3,mobile,telefonica movil de chile s.a.,320x568,19,5,1
emma / email,Safari,iOS,11.4,mobile,entel pcs telecomunicaciones s.a.,375x667,18,18,1
emma / email,Safari,iOS,11.4,mobile,telefonica del sur s.a.,320x568,18,20,1
emma / email,Safari,iOS,11.4.2001,mobile,entel pcs telecomunicaciones s.a.,375x667,18,18,1
emma / email,Safari,iOS,11.4.2001,mobile,telef nica chile s.a.,375x667,18,20,1
emma / email,Safari,iOS,11.4.2001,mobile,telefonica del sur s.a.,414x736,19,16,1
emma / email,Safari,iOS,11.4.2001,mobile,telefonica movil de chile s.a.,320x568,18,18,1
emma / email,Safari,iOS,11.4.2001,mobile,vtr banda ancha s.a.,414x736,20,10,1
emma / email,Safari,iOS,12.0,mobile,banda ancha gtd manquehue,375x812,18,18,1
emma / email,Safari,iOS,12.0,mobile,centennial cayman corp chile s.a,375x667,18,18,1
emma / email,Safari,iOS,12.0,mobile,entel pcs telecomunicaciones s.a.,414x736,18,23,1
emma / email,Safari,iOS,12.0,mobile,gtd internet s.a.,375x667,18,18,1
emma / email,Safari,iOS,12.0,mobile,telefonica movil de chile s.a.,320x568,18,17,1
emma / email,Safari,iOS,12.0,mobile,telefonica movil de chile s.a.,375x667,18,19,1
emma / email,Safari,iOS,12.0,mobile,telefonica movil de chile s.a.,375x812,18,18,1
emma / email,Safari,iOS,12.0,mobile,tv cable loncomilla s.a.,375x667,19,13,1
emma / email,Safari,iOS,12.0,mobile,uninet s.a. de c.v.,375x812,18,18,1
emma / email,Safari,iOS,12.0,mobile,vtr banda ancha s.a.,375x812,18,20,1
emma / email,Safari,iOS,12.0,mobile,vtr banda ancha s.a.,414x736,18,20,1
emma / email,Safari,iOS,12.0.1,mobile,claro chile s.a.,375x667,21,18,1
emma / email,Safari,iOS,12.0.1,mobile,comsat limitada,320x568,18,19,1
emma / email,Safari,iOS,12.0.1,mobile,entel chile s.a.,375x667,18,18,1
emma / email,Safari,iOS,12.0.1,mobile,entel pcs telecomunicaciones s.a.,320x568,18,21,1
emma / email,Safari,iOS,12.0.1,mobile,entel pcs telecomunicaciones s.a.,375x667,18,17,1
emma / email,Safari,iOS,12.0.1,mobile,entel pcs telecomunicaciones s.a.,375x812,18,18,1
emma / email,Safari,iOS,12.0.1,mobile,entel pcs telecomunicaciones s.a.,375x812,19,8,1
emma / email,Safari,iOS,12.0.1,mobile,telef nica chile s.a.,375x667,18,20,1
emma / email,Safari,iOS,12.0.1,mobile,telef nica chile s.a.,375x667,18,23,1
emma / email,Safari,iOS,12.0.1,mobile,telef nica chile s.a.,375x667,19,2,1
emma / email,Safari,iOS,12.0.1,mobile,telefonica movil de chile s.a.,320x568,18,21,1
emma / email,Safari,iOS,12.0.1,mobile,telefonica movil de chile s.a.,375x667,18,22,2
emma / email,Safari,iOS,12.0.1,mobile,telmex servicios empresariales s.a.,414x736,18,20,1
emma / email,Safari,iOS,12.0.1,mobile,vtr banda ancha s.a.,320x568,18,19,1
emma / email,Safari,iOS,12.0.1,mobile,vtr banda ancha s.a.,320x568,18,22,1
emma / email,Safari,iOS,12.0.1,mobile,vtr banda ancha s.a.,320x568,18,23,1
emma / email,Safari,iOS,12.0.1,mobile,vtr banda ancha s.a.,375x667,18,18,1
emma / email,Safari,iOS,12.0.1,mobile,vtr banda ancha s.a.,375x667,18,21,2
emma / email,Safari,iOS,12.0.1,mobile,vtr banda ancha s.a.,375x667,19,9,1
emma / email,Safari,iOS,12.0.1,mobile,vtr banda ancha s.a.,375x667,19,23,1
emma / email,Safari,iOS,12.0.1,mobile,vtr banda ancha s.a.,375x812,19,0,1
emma / email,Safari,iOS,12.0.1,tablet,banda ancha gtd manquehue,768x1024,18,18,1
emma / email,Safari,iOS,12.0.1,tablet,vtr banda ancha s.a.,834x1112,18,22,1
emma / email,Safari,iOS,12.1,mobile,entel pcs telecomunicaciones s.a.,320x568,18,18,1
emma / email,Safari,iOS,12.1,mobile,entel pcs telecomunicaciones s.a.,375x667,18,18,1
emma / email,Safari,iOS,12.1,mobile,vtr banda ancha s.a.,375x667,19,6,1
emma / email,Safari,iOS,9.3.2005,tablet,entel chile s.a.,768x1024,18,22,1
emma / email,Safari,Macintosh,Intel 10.11,desktop,vtr banda ancha s.a.,1440x900,18,19,1
emma / email,Safari,Macintosh,Intel 10.13,desktop,entel pcs telecomunicaciones s.a.,1440x900,18,19,1
emma / email,Safari,Macintosh,Intel 10.13,desktop,telefonica movil de chile s.a.,1280x800,18,18,1
emma / email,Safari,Macintosh,Intel 10.13,desktop,universidad santo tomas,1920x1080,18,17,1
emma / email,Safari,Macintosh,Intel 10.13,desktop,vtr banda ancha s.a.,1920x1080,18,18,1
emma / email,Safari,Macintosh,Intel 10.14,desktop,gtd internet s.a.,1680x1050,19,10,1
emma / email,Samsung Internet,Android,6.0.1,mobile,conect s.a,360x640,18,18,1
emma / email,Samsung Internet,Android,7.0,mobile,centennial cayman corp chile s.a,320x569,18,22,1
emma / email,Samsung Internet,Android,7.0,mobile,centennial cayman corp chile s.a,360x640,18,18,1
emma / email,Samsung Internet,Android,7.0,mobile,entel pcs telecomunicaciones s.a.,360x640,18,18,1
emma / email,Samsung Internet,Android,7.0,mobile,inversiones myj ltda,320x569,20,2,1
emma / email,Samsung Internet,Android,7.0,mobile,telefonica movil de chile s.a.,360x640,18,18,1
emma / email,Samsung Internet,Android,7.0,mobile,telefonica movil de chile s.a.,360x640,19,19,1
emma / email,Samsung Internet,Android,7.0,mobile,vtr banda ancha s.a.,360x640,20,15,1
